Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
2818,0,0,0.0,0,0,0,0.0,0.0
2819,0,0,0.0,0,0,1,0.0,0.0
2820,0,0,0.0,0,0,0,0.0,0.0
2821,0,0,0.0,0,0,1,0.0,0.0
2822,1,0,0.5,0,0,0,1.0,0.0
2823,1,0,0.5,0,0,1,2.0,0.0
2824,2,0,1.0,0,0,0,4.0,0.0
2825,2,0,1.0,0,0,0,6.0,0.0
2826,3,0,1.5,0,0,0,9.0,0.0
2827,4,0,2.0,0,0,0,13.0,0.0
2828,4,0,2.0,0,0,0,17.0,0.0
2829,5,0,2.5,0,0,0,22.0,0.0
2830,6,0,3.0,0,0,0,28.0,0.0
2831,7,0,3.5,0,0,0,35.0,0.0
2832,7,0,3.5,0,0,0,42.0,0.0
2833,7,0,3.5,0,0,0,49.0,0.0
2834,7,0,3.5,0,0,0,56.0,0.0
2835,6,0,3.0,0,0,0,49.0,0.0
2836,5,0,2.5,0,0,0,42.0,0.0
2837,4,0,2.0,0,0,0,35.0,0.0
2838,3,0,1.5,0,0,0,27.0,0.0
2839,2,0,1.0,0,0,0,19.0,0.0
2840,1,0,0.5,0,0,0,10.0,0.0
2841,0,0,0.0,0,0,0,0.0,0.0
2842,0,0,0.0,0,0,0,0.0,0.0
2843,0,0,0.0,0,0,1,0.0,0.0
2844,0,0,0.0,0,0,0,0.0,0.0
2845,0,0,0.0,0,0,1,0.0,0.0
2846,0,0,0.0,0,0,0,0.0,0.0
2847,0,0,0.0,0,0,1,0.0,0.0
2848,0,0,0.0,0,0,0,0.0,0.0
2849,1,0,0.5,0,0,1,1.0,0.0
2850,1,0,0.5,0,0,0,2.0,0.0
2851,2,0,1.0,0,0,1,4.0,0.0
2852,2,0,1.0,0,0,0,6.0,0.0
2853,3,0,1.5,0,0,0,9.0,0.0
2854,4,0,2.0,0,0,0,13.0,0.0
2855,4,0,2.0,0,0,0,17.0,0.0
2856,5,0,2.5,0,0,0,22.0,0.0
2857,5,0,2.5,0,0,0,27.0,0.0
2858,7,0,3.5,0,0,0,34.0,0.0
2859,7,0,3.5,0,0,0,41.0,0.0
2860,7,0,3.5,0,0,0,48.0,0.0
2861,6,0,3.0,0,0,0,42.0,0.0
2862,5,0,2.5,0,0,0,36.0,0.0
2863,4,0,2.0,0,0,0,30.0,0.0
2864,3,0,1.5,0,0,0,23.0,0.0
2865,2,0,1.0,0,0,0,16.0,0.0
2866,1,0,0.5,0,0,0,9.0,0.0
2867,0,0,0.0,0,0,0,0.0,0.0
2868,0,0,0.0,0,0,0,0.0,0.0
2869,0,0,0.0,0,0,1,0.0,0.0
2870,0,0,0.0,0,0,0,0.0,0.0
2871,0,0,0.0,0,0,1,0.0,0.0
2872,0,0,0.0,0,0,0,0.0,0.0
2873,1,0,0.5,0,0,1,1.0,0.0
2874,1,0,0.5,0,0,0,2.0,0.0
2875,1,0,0.5,0,0,1,3.0,0.0
2876,2,0,1.0,0,0,0,5.0,0.0
2877,3,0,1.5,0,0,0,8.0,0.0
2878,4,0,2.0,0,0,0,12.0,0.0
2879,5,0,2.5,0,0,0,17.0,0.0
2880,5,0,2.5,0,0,0,22.0,0.0
2881,6,0,3.0,0,0,0,28.0,0.0
2882,6,0,3.0,0,0,0,34.0,0.0
2883,6,0,3.0,0,0,0,40.0,0.0
2884,7,0,3.5,0,0,0,47.0,0.0
2885,7,0,3.5,0,0,0,54.0,0.0
2886,7,0,3.5,0,0,0,61.0,0.0
2887,6,0,3.0,0,0,0,53.0,0.0
2888,5,0,2.5,0,0,0,46.0,0.0
2889,4,0,2.0,0,0,0,38.0,0.0
2890,3,0,1.5,0,0,0,29.0,0.0
2891,2,0,1.0,0,0,0,19.0,0.0
2892,1,0,0.5,0,0,0,9.0,0.0
2893,0,0,0.0,0,0,0,0.0,0.0
2894,0,0,0.0,0,0,0,0.0,0.0
2895,0,0,0.0,0,0,1,0.0,0.0
2896,0,0,0.0,0,0,0,0.0,0.0
2897,0,0,0.0,0,0,1,0.0,0.0
2898,0,0,0.0,0,0,0,0.0,0.0
2899,0,0,0.0,0,0,1,0.0,0.0
2900,0,0,0.0,0,0,1,0.0,0.0
2901,0,0,0.0,0,0,0,0.0,0.0
2902,1,0,0.5,0,0,1,1.0,0.0
2903,2,0,1.0,0,0,0,3.0,0.0
2904,2,0,1.0,0,0,0,5.0,0.0
2905,3,0,1.5,0,0,0,8.0,0.0
2906,4,0,2.0,0,0,0,12.0,0.0
2907,4,0,2.0,0,0,0,16.0,0.0
2908,4,0,2.0,0,0,0,20.0,0.0
2909,5,0,2.5,0,0,0,25.0,0.0
2910,6,0,3.0,0,0,0,31.0,0.0
2911,6,0,3.0,0,0,0,37.0,0.0
2912,7,0,3.5,0,0,0,44.0,0.0
2913,6,0,3.0,0,0,0,39.0,0.0
2914,5,0,2.5,0,0,0,33.0,0.0
2915,4,0,2.0,0,0,0,27.0,0.0
2916,3,0,1.5,0,0,0,20.0,0.0
2917,2,0,1.0,0,0,0,14.0,0.0
2918,1,0,0.5,0,0,0,7.0,0.0
2919,0,0,0.0,0,0,0,0.0,0.0
2920,0,0,0.0,0,0,0,0.0,0.0
2921,0,0,0.0,0,0,1,0.0,0.0
2922,0,0,0.0,0,0,0,0.0,0.0
2923,0,0,0.0,0,0,1,0.0,0.0
2924,0,0,0.0,0,0,0,0.0,0.0
2925,0,0,0.0,0,0,1,0.0,0.0
2926,0,0,0.0,0,0,0,0.0,0.0
2927,0,0,0.0,0,0,1,0.0,0.0
2928,1,0,0.5,0,0,0,1.0,0.0
2929,1,0,0.5,0,0,1,2.0,0.0
2930,2,0,1.0,0,0,0,4.0,0.0
2931,2,0,1.0,0,0,0,6.0,0.0
2932,3,0,1.5,0,0,0,9.0,0.0
2933,4,0,2.0,0,0,0,13.0,0.0
2934,4,0,2.0,0,0,0,17.0,0.0
2935,5,0,2.5,0,0,0,22.0,0.0
2936,6,0,3.0,0,0,0,28.0,0.0
2937,6,0,3.0,0,0,0,34.0,0.0
2938,7,0,3.5,0,0,0,41.0,0.0
2939,6,0,3.0,0,0,0,36.0,0.0
2940,5,0,2.5,0,0,0,31.0,0.0
2941,4,0,2.0,0,0,0,26.0,0.0
2942,3,0,1.5,0,0,0,20.0,0.0
2943,2,0,1.0,0,0,0,14.0,0.0
2944,1,0,0.5,0,0,0,7.0,0.0
2945,0,0,0.0,0,0,0,0.0,0.0
2946,0,0,0.0,0,0,0,0.0,0.0
2947,0,0,0.0,0,0,1,0.0,0.0
2948,0,0,0.0,0,0,0,0.0,0.0
2949,0,0,0.0,0,0,1,0.0,0.0
2950,0,0,0.0,0,0,0,0.0,0.0
2951,0,0,0.0,0,0,1,0.0,0.0
2952,1,0,0.5,0,0,0,1.0,0.0
2953,1,0,0.5,0,0,0,2.0,0.0
2954,2,0,1.0,0,0,1,4.0,0.0
2955,2,0,1.0,0,0,0,6.0,0.0
2956,3,0,1.5,0,0,0,9.0,0.0
2957,3,0,1.5,0,0,0,12.0,0.0
2958,4,0,2.0,0,0,0,16.0,0.0
2959,5,0,2.5,0,0,0,21.0,0.0
2960,5,0,2.5,0,0,0,26.0,0.0
2961,6,0,3.0,0,0,0,32.0,0.0
2962,7,0,3.5,0,0,0,39.0,0.0
2963,7,0,3.5,0,0,0,46.0,0.0
2964,7,0,3.5,0,0,0,53.0,0.0
2965,6,0,3.0,0,0,0,46.0,0.0
2966,5,0,2.5,0,0,0,39.0,0.0
2967,4,0,2.0,0,0,0,32.0,0.0
2968,3,0,1.5,0,0,0,25.0,0.0
2969,2,0,1.0,0,0,0,17.0,0.0
2970,1,0,0.5,0,0,0,9.0,0.0
2971,0,0,0.0,0,0,0,0.0,0.0
2972,0,0,0.0,0,0,0,0.0,0.0
2973,0,0,0.0,0,0,1,0.0,0.0
2974,0,0,0.0,0,0,0,0.0,0.0
2975,0,0,0.0,0,0,1,0.0,0.0
2976,0,0,0.0,0,0,0,0.0,0.0
2977,0,0,0.0,0,0,1,0.0,0.0
2978,0,0,0.0,0,0,1,0.0,0.0
2979,0,0,0.0,0,0,0,0.0,0.0
2980,1,0,0.5,0,0,1,1.0,0.0
2981,1,0,0.5,0,0,0,2.0,0.0
2982,2,0,1.0,0,0,0,4.0,0.0
2983,3,0,1.5,0,0,0,7.0,0.0
2984,3,0,1.5,0,0,0,10.0,0.0
2985,4,0,2.0,0,0,0,14.0,0.0
2986,5,0,2.5,0,0,0,19.0,0.0
2987,5,0,2.5,0,0,0,24.0,0.0
2988,6,0,3.0,0,0,0,30.0,0.0
2989,7,0,3.5,0,0,0,37.0,0.0
2990,7,0,3.5,0,0,0,44.0,0.0
2991,6,0,3.0,0,0,0,39.0,0.0
2992,5,0,2.5,0,0,0,34.0,0.0
2993,4,0,2.0,0,0,0,28.0,0.0
2994,3,0,1.5,0,0,0,22.0,0.0
2995,2,0,1.0,0,0,0,15.0,0.0
2996,1,0,0.5,0,0,0,8.0,0.0
2997,0,0,0.0,0,0,0,0.0,0.0
2998,0,0,0.0,0,0,1,0.0,0.0
2999,0,0,0.0,0,0,0,0.0,0.0
3000,0,0,0.0,0,0,1,0.0,0.0
3001,0,0,0.0,0,0,0,0.0,0.0
3002,0,0,0.0,0,0,1,0.0,0.0
3003,0,0,0.0,0,0,0,0.0,0.0
3004,1,0,0.5,0,0,0,1.0,0.0
3005,1,0,0.5,0,0,1,2.0,0.0
3006,2,0,1.0,0,0,0,4.0,0.0
3007,2,0,1.0,0,0,0,6.0,0.0
3008,2,0,1.0,0,0,0,8.0,0.0
3009,2,0,1.0,0,0,0,10.0,0.0
3010,3,0,1.5,0,0,0,13.0,0.0
3011,4,0,2.0,0,0,0,17.0,0.0
3012,5,0,2.5,0,0,0,22.0,0.0
3013,6,0,3.0,0,0,0,28.0,0.0
3014,5,0,2.5,0,0,0,32.0,0.0
3015,6,0,3.0,0,0,0,38.0,0.0
3016,7,0,3.5,0,0,0,45.0,0.0
3017,6,0,3.0,0,0,0,38.0,0.0
3018,5,0,2.5,0,0,0,31.0,0.0
3019,4,0,2.0,0,0,0,26.0,0.0
3020,3,0,1.5,0,0,0,20.0,0.0
3021,2,0,1.0,0,0,0,13.0,0.0
3022,1,0,0.5,0,0,0,7.0,0.0
3023,0,0,0.0,0,0,0,0.0,0.0
3024,0,0,0.0,0,0,0,0.0,0.0
3025,0,0,0.0,0,0,1,0.0,0.0
3026,0,0,0.0,0,0,0,0.0,0.0
3027,0,0,0.0,0,0,1,0.0,0.0
3028,0,0,0.0,0,0,0,0.0,0.0
3029,0,0,0.0,0,0,1,0.0,0.0
3030,0,0,0.0,0,0,0,0.0,0.0
3031,0,0,0.0,0,0,1,0.0,0.0
3032,1,0,0.5,0,0,1,1.0,0.0
3033,2,0,1.0,0,0,0,3.0,0.0
3034,2,0,1.0,0,0,0,5.0,0.0
3035,3,0,1.5,0,0,0,8.0,0.0
3036,3,0,1.5,0,0,0,11.0,0.0
3037,4,0,2.0,0,0,0,15.0,0.0
3038,4,0,2.0,0,0,0,19.0,0.0
3039,5,0,2.5,0,0,0,24.0,0.0
3040,6,0,3.0,0,0,0,30.0,0.0
3041,6,0,3.0,0,0,0,36.0,0.0
3042,7,0,3.5,0,0,0,43.0,0.0
3043,6,0,3.0,0,0,0,38.0,0.0
3044,5,0,2.5,0,0,0,32.0,0.0
3045,4,0,2.0,0,0,0,26.0,0.0
3046,3,0,1.5,0,0,0,20.0,0.0
3047,2,0,1.0,0,0,0,14.0,0.0
3048,1,0,0.5,0,0,0,7.0,0.0
3049,0,0,0.0,0,0,0,0.0,0.0
3050,0,0,0.0,0,0,0,0.0,0.0
3051,0,0,0.0,0,0,0,0.0,0.0
3052,0,0,0.0,0,0,1,0.0,0.0
3053,0,0,0.0,0,0,0,0.0,0.0
3054,0,0,0.0,0,0,1,0.0,0.0
3055,0,0,0.0,0,0,0,0.0,0.0
3056,1,0,0.5,0,0,1,1.0,0.0
3057,1,0,0.5,0,0,0,2.0,0.0
3058,2,0,1.0,0,0,1,4.0,0.0
3059,2,0,1.0,0,0,0,6.0,0.0
3060,3,0,1.5,0,0,0,9.0,0.0
3061,3,0,1.5,0,0,0,12.0,0.0
3062,4,0,2.0,0,0,0,16.0,0.0
3063,5,0,2.5,0,0,0,21.0,0.0
3064,5,0,2.5,0,0,0,26.0,0.0
3065,5,0,2.5,0,0,0,31.0,0.0
3066,6,0,3.0,0,0,0,37.0,0.0
3067,7,0,3.5,0,0,0,44.0,0.0
3068,7,0,3.5,0,0,0,51.0,0.0
3069,6,0,3.0,0,0,0,44.0,0.0
3070,5,0,2.5,0,0,0,37.0,0.0
3071,4,0,2.0,0,0,0,30.0,0.0
3072,3,0,1.5,0,0,0,23.0,0.0
3073,2,0,1.0,0,0,0,15.0,0.0
3074,1,0,0.5,0,0,0,8.0,0.0
3075,0,0,0.0,0,0,0,0.0,0.0
3076,0,0,0.0,0,0,1,0.0,0.0
3077,0,0,0.0,0,0,0,0.0,0.0
3078,0,0,0.0,0,0,1,0.0,0.0
3079,0,0,0.0,0,0,0,0.0,0.0
3080,0,0,0.0,0,0,1,0.0,0.0
3081,0,0,0.0,0,0,0,0.0,0.0
3082,0,0,0.0,0,0,1,0.0,0.0
3083,0,0,0.0,0,0,0,0.0,0.0
3084,1,0,0.5,0,0,1,1.0,0.0
3085,1,0,0.5,0,0,0,2.0,0.0
3086,2,0,1.0,0,0,0,4.0,0.0
3087,2,0,1.0,0,0,0,6.0,0.0
3088,3,0,1.5,0,0,0,9.0,0.0
3089,4,0,2.0,0,0,0,13.0,0.0
3090,4,0,2.0,0,0,0,17.0,0.0
3091,5,0,2.5,0,0,0,22.0,0.0
3092,6,0,3.0,0,0,0,28.0,0.0
3093,7,0,3.5,0,0,0,35.0,0.0
3094,7,0,3.5,0,0,0,42.0,0.0
3095,6,0,3.0,0,0,0,37.0,0.0
3096,5,0,2.5,0,0,0,32.0,0.0
3097,4,0,2.0,0,0,0,27.0,0.0
3098,3,0,1.5,0,0,0,21.0,0.0
3099,2,0,1.0,0,0,0,15.0,0.0
3100,1,0,0.5,0,0,0,8.0,0.0
3101,0,0,0.0,0,0,0,0.0,0.0
3102,0,0,0.0,0,0,0,0.0,0.0
3103,0,0,0.0,0,0,1,0.0,0.0
3104,0,0,0.0,0,0,0,0.0,0.0
3105,0,0,0.0,0,0,1,0.0,0.0
3106,0,0,0.0,0,0,0,0.0,0.0
3107,1,0,0.5,0,0,1,1.0,0.0
3108,1,0,0.5,0,0,1,2.0,0.0
3109,1,0,0.5,0,0,0,3.0,0.0
3110,2,0,1.0,0,0,0,5.0,0.0
3111,3,0,1.5,0,0,0,8.0,0.0
3112,3,0,1.5,0,0,0,11.0,0.0
3113,4,0,2.0,0,0,0,15.0,0.0
3114,4,0,2.0,0,0,0,19.0,0.0
3115,5,0,2.5,0,0,0,24.0,0.0
3116,5,0,2.5,0,0,0,29.0,0.0
3117,6,0,3.0,0,0,0,35.0,0.0
3118,6,0,3.0,0,0,0,41.0,0.0
3119,7,0,3.5,0,0,0,48.0,0.0
3120,7,0,3.5,0,0,0,55.0,0.0
3121,6,0,3.0,0,0,0,47.0,0.0
3122,5,0,2.5,0,0,0,40.0,0.0
3123,4,0,2.0,0,0,0,32.0,0.0
3124,3,0,1.5,0,0,0,24.0,0.0
3125,2,0,1.0,0,0,0,16.0,0.0
3126,1,0,0.5,0,0,0,8.0,0.0
3127,0,0,0.0,0,0,0,0.0,0.0
3128,0,0,0.0,0,0,0,0.0,0.0
3129,0,0,0.0,0,0,1,0.0,0.0
3130,0,0,0.0,0,0,0,0.0,0.0
3131,0,0,0.0,0,0,1,0.0,0.0
3132,0,0,0.0,0,0,0,0.0,0.0
3133,1,0,0.5,0,0,1,1.0,0.0
3134,1,0,0.5,0,0,0,2.0,0.0
3135,2,0,1.0,0,0,1,4.0,0.0
3136,2,0,1.0,0,0,0,6.0,0.0
3137,3,0,1.5,0,0,0,9.0,0.0
3138,3,0,1.5,0,0,0,12.0,0.0
3139,5,0,2.5,0,0,0,17.0,0.0
3140,5,0,2.5,0,0,0,22.0,0.0
3141,6,0,3.0,0,0,0,28.0,0.0
3142,6,0,3.0,0,0,0,34.0,0.0
3143,7,0,3.5,0,0,0,41.0,0.0
3144,7,0,3.5,0,0,0,48.0,0.0
3145,7,0,3.5,0,0,0,55.0,0.0
3146,7,0,3.5,0,0,0,62.0,0.0
3147,6,0,3.0,0,0,0,54.0,0.0
3148,5,0,2.5,0,0,0,46.0,0.0
3149,4,0,2.0,0,0,0,38.0,0.0
3150,3,0,1.5,0,0,0,30.0,0.0
3151,2,0,1.0,0,0,0,20.0,0.0
3152,1,0,0.5,0,0,0,10.0,0.0
3153,0,0,0.0,0,0,0,0.0,0.0
3154,0,0,0.0,0,0,1,0.0,0.0
3155,0,0,0.0,0,0,0,0.0,0.0
3156,0,0,0.0,0,0,1,0.0,0.0
3157,0,0,0.0,0,0,0,0.0,0.0
3158,0,0,0.0,0,0,1,0.0,0.0
3159,0,0,0.0,0,0,0,0.0,0.0
3160,0,0,0.0,0,0,1,0.0,0.0
3161,1,0,0.5,0,0,0,1.0,0.0
3162,1,0,0.5,0,0,1,2.0,0.0
3163,2,0,1.0,0,0,0,4.0,0.0
3164,2,0,1.0,0,0,0,6.0,0.0
3165,3,0,1.5,0,0,0,9.0,0.0
3166,4,0,2.0,0,0,0,13.0,0.0
3167,4,0,2.0,0,0,0,17.0,0.0
3168,5,0,2.5,0,0,0,22.0,0.0
3169,6,0,3.0,0,0,0,28.0,0.0
3170,6,0,3.0,0,0,0,34.0,0.0
3171,6,0,3.0,0,0,0,40.0,0.0
3172,7,0,3.5,0,0,0,47.0,0.0
3173,6,0,3.0,0,0,0,41.0,0.0
3174,5,0,2.5,0,0,0,35.0,0.0
3175,4,0,2.0,0,0,0,29.0,0.0
3176,3,0,1.5,0,0,0,22.0,0.0
3177,2,0,1.0,0,0,0,15.0,0.0
3178,1,0,0.5,0,0,0,7.0,0.0
3179,0,0,0.0,0,0,0,0.0,0.0
3180,0,0,0.0,0,0,0,0.0,0.0
3181,0,0,0.0,0,0,1,0.0,0.0
3182,0,0,0.0,0,0,0,0.0,0.0
3183,0,0,0.0,0,0,1,0.0,0.0
3184,1,0,0.5,0,0,0,1.0,0.0
3185,1,0,0.5,0,0,1,2.0,0.0
3186,1,0,0.5,0,0,0,3.0,0.0
3187,2,0,1.0,0,0,1,5.0,0.0
3188,2,0,1.0,0,0,0,7.0,0.0
3189,3,0,1.5,0,0,0,10.0,0.0
3190,4,0,2.0,0,0,0,14.0,0.0
3191,4,0,2.0,0,0,0,18.0,0.0
3192,5,0,2.5,0,0,0,23.0,0.0
3193,5,0,2.5,0,0,0,28.0,0.0
3194,6,0,3.0,0,0,0,34.0,0.0
3195,6,0,3.0,0,0,0,40.0,0.0
3196,7,0,3.5,0,0,0,47.0,0.0
3197,7,0,3.5,0,0,0,54.0,0.0
3198,7,0,3.5,0,0,0,61.0,0.0
3199,6,0,3.0,0,0,0,52.0,0.0
3200,5,0,2.5,0,0,0,44.0,0.0
3201,4,0,2.0,0,0,0,36.0,0.0
3202,3,0,1.5,0,0,0,27.0,0.0
3203,2,0,1.0,0,0,0,18.0,0.0
3204,1,0,0.5,0,0,0,9.0,0.0
3205,0,0,0.0,0,0,0,0.0,0.0
3206,0,0,0.0,0,0,0,0.0,0.0
3207,0,0,0.0,0,0,1,0.0,0.0
3208,0,0,0.0,0,0,0,0.0,0.0
3209,0,0,0.0,0,0,1,0.0,0.0
3210,0,0,0.0,0,0,0,0.0,0.0
3211,0,0,0.0,0,0,1,0.0,0.0
3212,0,0,0.0,0,0,1,0.0,0.0
3213,1,0,0.5,0,0,0,1.0,0.0
3214,1,0,0.5,0,0,1,2.0,0.0
3215,1,0,0.5,0,0,0,3.0,0.0
3216,2,0,1.0,0,0,0,5.0,0.0
3217,3,0,1.5,0,0,0,8.0,0.0
3218,3,0,1.5,0,0,0,11.0,0.0
3219,4,0,2.0,0,0,0,15.0,0.0
3220,5,0,2.5,0,0,0,20.0,0.0
3221,5,0,2.5,0,0,0,25.0,0.0
3222,6,0,3.0,0,0,0,31.0,0.0
3223,6,0,3.0,0,0,0,37.0,0.0
3224,7,0,3.5,0,0,0,44.0,0.0
3225,6,0,3.0,0,0,0,38.0,0.0
3226,5,0,2.5,0,0,0,33.0,0.0
3227,4,0,2.0,0,0,0,27.0,0.0
3228,3,0,1.5,0,0,0,21.0,0.0
3229,2,0,1.0,0,0,0,14.0,0.0
3230,1,0,0.5,0,0,0,7.0,0.0
3231,0,0,0.0,0,0,0,0.0,0.0
3232,0,0,0.0,0,0,0,0.0,0.0
3233,0,0,0.0,0,0,1,0.0,0.0
3234,0,0,0.0,0,0,0,0.0,0.0
3235,0,0,0.0,0,0,1,0.0,0.0
3236,0,0,0.0,0,0,0,0.0,0.0
3237,1,0,0.5,0,0,1,1.0,0.0
3238,1,0,0.5,0,0,0,2.0,0.0
3239,2,0,1.0,0,0,1,4.0,0.0
3240,3,0,1.5,0,0,0,7.0,0.0
3241,3,0,1.5,0,0,0,10.0,0.0
3242,3,0,1.5,0,0,0,13.0,0.0
3243,3,0,1.5,0,0,0,16.0,0.0
3244,4,0,2.0,0,0,0,20.0,0.0
3245,5,0,2.5,0,0,0,25.0,0.0
3246,6,0,3.0,0,0,0,31.0,0.0
3247,6,0,3.0,0,0,0,37.0,0.0
3248,7,0,3.5,0,0,0,44.0,0.0
3249,7,0,3.5,0,0,0,51.0,0.0
3250,7,0,3.5,0,0,0,58.0,0.0
3251,6,0,3.0,0,0,0,50.0,0.0
3252,5,0,2.5,0,0,0,42.0,0.0
3253,4,0,2.0,0,0,0,33.0,0.0
3254,3,0,1.5,0,0,0,26.0,0.0
3255,2,0,1.0,0,0,0,18.0,0.0
3256,1,0,0.5,0,0,0,9.0,0.0
3257,0,0,0.0,0,0,0,0.0,0.0
3258,0,0,0.0,0,0,1,0.0,0.0
3259,0,0,0.0,0,0,0,0.0,0.0
3260,0,0,0.0,0,0,1,0.0,0.0
3261,0,0,0.0,0,0,0,0.0,0.0
3262,0,0,0.0,0,0,1,0.0,0.0
3263,0,0,0.0,0,0,0,0.0,0.0
3264,0,0,0.0,0,0,1,0.0,0.0
3265,0,0,0.0,0,0,0,0.0,0.0
3266,1,0,0.5,0,0,1,1.0,0.0
3267,2,0,1.0,0,0,0,3.0,0.0
3268,2,0,1.0,0,0,0,5.0,0.0
3269,3,0,1.5,0,0,0,8.0,0.0
3270,3,0,1.5,0,0,0,11.0,0.0
3271,4,0,2.0,0,0,0,15.0,0.0
3272,5,0,2.5,0,0,0,20.0,0.0
3273,5,0,2.5,0,0,0,25.0,0.0
3274,6,0,3.0,0,0,0,31.0,0.0
3275,7,0,3.5,0,0,0,38.0,0.0
3276,7,0,3.5,0,0,0,45.0,0.0
3277,6,0,3.0,0,0,0,40.0,0.0
3278,5,0,2.5,0,0,0,34.0,0.0
3279,4,0,2.0,0,0,0,28.0,0.0
3280,3,0,1.5,0,0,0,22.0,0.0
3281,2,0,1.0,0,0,0,15.0,0.0
3282,1,0,0.5,0,0,0,8.0,0.0
3283,0,0,0.0,0,0,0,0.0,0.0
3284,0,0,0.0,0,0,0,0.0,0.0
3285,0,0,0.0,0,0,1,0.0,0.0
3286,0,0,0.0,0,0,0,0.0,0.0
3287,0,0,0.0,0,0,1,0.0,0.0
3288,0,0,0.0,0,0,0,0.0,0.0
3289,0,0,0.0,0,0,1,0.0,0.0
3290,0,0,0.0,0,0,0,0.0,0.0
3291,1,0,0.5,0,0,1,1.0,0.0
3292,1,0,0.5,0,0,1,2.0,0.0
3293,2,0,1.0,0,0,0,4.0,0.0
3294,2,0,1.0,0,0,0,6.0,0.0
3295,2,0,1.0,0,0,0,8.0,0.0
3296,2,0,1.0,0,0,0,10.0,0.0
3297,3,0,1.5,0,0,0,13.0,0.0
3298,4,0,2.0,0,0,0,17.0,0.0
3299,5,0,2.5,0,0,0,22.0,0.0
3300,5,0,2.5,0,0,0,27.0,0.0
3301,6,0,3.0,0,0,0,33.0,0.0
3302,7,0,3.5,0,0,0,40.0,0.0
3303,6,0,3.0,0,0,0,34.0,0.0
3304,5,0,2.5,0,0,0,28.0,0.0
3305,4,0,2.0,0,0,0,24.0,0.0
3306,3,0,1.5,0,0,0,19.0,0.0
3307,2,0,1.0,0,0,0,13.0,0.0
3308,1,0,0.5,0,0,0,7.0,0.0
3309,0,0,0.0,0,0,0,0.0,0.0
3310,0,0,0.0,0,0,0,0.0,0.0
3311,0,0,0.0,0,0,0,0.0,0.0
3312,0,0,0.0,0,0,1,0.0,0.0
3313,0,0,0.0,0,0,0,0.0,0.0
3314,0,0,0.0,0,0,1,0.0,0.0
3315,0,0,0.0,0,0,1,0.0,0.0
3316,1,0,0.5,0,0,0,1.0,0.0
3317,1,0,0.5,0,0,1,2.0,0.0
3318,1,0,0.5,0,0,0,3.0,0.0
3319,2,0,1.0,0,0,0,5.0,0.0
3320,2,0,1.0,0,0,1,7.0,0.0
3321,3,0,1.5,0,0,0,10.0,0.0
3322,3,0,1.5,0,0,0,13.0,0.0
3323,4,0,2.0,0,0,0,17.0,0.0
3324,5,0,2.5,0,0,0,22.0,0.0
3325,5,0,2.5,0,0,0,27.0,0.0
3326,5,0,2.5,0,0,0,32.0,0.0
3327,6,0,3.0,0,0,0,38.0,0.0
3328,7,0,3.5,0,0,0,45.0,0.0
3329,6,0,3.0,0,0,0,38.0,0.0
3330,5,0,2.5,0,0,0,32.0,0.0
3331,4,0,2.0,0,0,0,26.0,0.0
3332,3,0,1.5,0,0,0,20.0,0.0
3333,2,0,1.0,0,0,0,13.0,0.0
3334,1,0,0.5,0,0,0,7.0,0.0
3335,0,0,0.0,0,0,0,0.0,0.0
3336,0,0,0.0,0,0,0,0.0,0.0
3337,0,0,0.0,0,0,1,0.0,0.0
3338,0,0,0.0,0,0,0,0.0,0.0
3339,0,0,0.0,0,0,1,0.0,0.0
3340,0,0,0.0,0,0,0,0.0,0.0
3341,0,0,0.0,0,0,1,0.0,0.0
3342,1,0,0.5,0,0,0,1.0,0.0
3343,2,0,1.0,0,0,1,3.0,0.0
3344,2,0,1.0,0,0,0,5.0,0.0
3345,3,0,1.5,0,0,0,8.0,0.0
3346,3,0,1.5,0,0,0,11.0,0.0
3347,3,0,1.5,0,0,0,14.0,0.0
3348,5,0,2.5,0,0,0,19.0,0.0
3349,4,0,2.0,0,0,0,22.0,0.0
3350,5,0,2.5,0,0,0,27.0,0.0
3351,5,0,2.5,0,0,0,32.0,0.0
3352,5,0,2.5,0,0,0,37.0,0.0
3353,5,0,2.5,0,0,0,42.0,0.0
3354,5,0,2.5,0,0,0,47.0,0.0
3355,4,0,2.0,0,0,0,38.0,0.0
3356,3,0,1.5,0,0,0,28.0,0.0
3357,2,0,1.0,0,0,0,18.0,0.0
3358,1,0,0.5,0,0,0,9.0,0.0
3359,0,0,0.0,0,0,0,0.0,0.0
3360,0,0,0.0,0,0,0,0.0,0.0
3361,0,0,0.0,0,0,0,0.0,0.0
3362,0,0,0.0,0,0,0,0.0,0.0
3363,0,0,0.0,0,0,1,0.0,0.0
3364,0,0,0.0,0,0,0,0.0,0.0
3365,0,0,0.0,0,0,1,0.0,0.0
3366,0,0,0.0,0,0,0,0.0,0.0
3367,1,0,0.5,0,0,1,1.0,0.0
3368,1,0,0.5,0,0,0,2.0,0.0
3369,1,0,0.5,0,0,1,3.0,0.0
3370,1,0,0.5,0,0,0,4.0,0.0
3371,1,0,0.5,0,0,0,5.0,0.0
3372,1,0,0.5,0,0,0,6.0,0.0
3373,1,0,0.5,0,0,0,7.0,0.0
